Title,Title_link,Price,count___1LWwo,Headline,Field1,Field2,Field3
Yuanxian Rice Crust Snack 130 g,https://www.sayweee.com/en/product/Yuanxian-Rice-Crust-Snack/25950,$1.99,1K+ Sold,Yuanxian Rice Crust Snack,(209),Mainland China,
"Yumei Rice Crust, Salted Yolk Flavor 118 g",https://www.sayweee.com/en/product/Yumei-Rice-Crust-Salted-Yolk-Flavor/24198,$3.69,600+ Sold,"Yumei Rice Crust, Salted Yolk Flavor",(59),Mainland China,YUMEI
"Bestore Egg Yolk Rice Crust, Crab Flavor 75 g",https://www.sayweee.com/en/product/Bestore-Egg-Yolk-Rice-Crust-Crab-Flavor/71733,$2.19,400+ Sold,"Bestore Egg Yolk Rice Crust, Crab Flavor",(27),Mainland China,
Three Squirrels Rice Crust Snack  60 g,https://www.sayweee.com/en/product/Three-Squirrels-Rice-Crust-Snack-/70315,$1.99,300+ Sold,Three Squirrels Rice Crust Snack,(39),Mainland China,THREE SQUIRRELS
"Huajiao Rice Crust, Spicy Flavor 158 g",https://www.sayweee.com/en/product/Huajiao-Rice-Crust--Spicy-Flavor/30787,$2.49,200+ Sold,"Huajiao Rice Crust, Spicy Flavor",(9),Mainland China,
"Huajiao Rice Crust, Peppercorn Flavor 158 g",https://www.sayweee.com/en/product/Huajiao-Rice-Crust--Peppercorn-Flavor/30848,$2.49,"200+ Sold,1 Left","Huajiao Rice Crust, Peppercorn Flavor",(3),Mainland China,
Rice Crust (Spicy Flavor) 80 g,https://www.sayweee.com/en/product/Rice-Crust--Spicy-Flavor-/86025,$2.49,100+ Sold,Rice Crust (Spicy Flavor),,Mainland China,
Rice Crust Fried Beef 1 each,https://www.sayweee.com/en/restaurants/2203?ws=shopping-search,$21.60,,Weee!,,,
Bestore Millet Crisp Crust Rice Crackers  90 g,https://www.sayweee.com/en/product/Bestore-Millet-Crisp-Crust-Rice-Crackers-/4653,$2.49,1K+ Sold,Bestore Millet Crisp Crust Rice Crackers,(45),Mainland China,
"Bestore Millet Crisp Crust Rice Crackers, Hot and Spicy Flavor 90 g",https://www.sayweee.com/en/product/Bestore-Millet-Crisp-Crust-Rice-Crackers--Hot-and-Spicy-Flavor/95951,$3.29,600+ Sold,"Bestore Millet Crisp Crust Rice Crackers, Hot and Spicy Flavor",(56),Mainland China,
"Songshan Pingdi Crisp Crust Cracker, Spicy Flavor 120 g",https://www.sayweee.com/en/product/Songshan-Pingdi-Crisp-Crust-Cracker-Spicy-Flavor/30974,$1.99,200+ Sold,"Songshan Pingdi Crisp Crust Cracker, Spicy Flavor",(68),Mainland China,
"Haobalaiba Millet Crisp Crust, Spicy Flavor 105 g",https://www.sayweee.com/en/product/Haobalaiba-Millet-Crisp-Crust-Spicy-Flavor/31524,$1.49,200+ Sold,"Haobalaiba Millet Crisp Crust, Spicy Flavor",(14),Mainland China,
"Millet crisp crust, Cumin Flavor  130 g",https://www.sayweee.com/en/product/Millet-crisp-crust--Cumin-Flavor-/83425,$2.09,200+ Sold,"Millet crisp crust, Cumin Flavor",(4),Mainland China,Hua Jiao Shi Jia
"Songshan Fangdan Crisp Crust, Spicy Crawfish Flavor 120 g",https://www.sayweee.com/en/product/Songshan-Fangdan-Crisp-Crust-Spicy-Crawfish-Flavor/31536,$1.99,100+ Sold,"Songshan Fangdan Crisp Crust, Spicy Crawfish Flavor",(53),Mainland China,SONGSHAN
"Millet crisp crust, Spicy Flavor  130 g",https://www.sayweee.com/en/product/Millet-crisp-crust--Spicy-Flavor-/83427,$2.09,100+ Sold,"Millet crisp crust, Spicy Flavor",(4),Mainland China,
"Millet crisp crust, Tomato Flavor 130 g",https://www.sayweee.com/en/product/Millet-crisp-crust--Tomato-Flavor/83426,$2.09,50+ Sold,"Millet crisp crust, Tomato Flavor",(6),Mainland China,Hua Jiao Shi Jia
"Ao Kun Small Portuguese Style Tart Crust, Frozen 60pc 570 g",https://www.sayweee.com/en/product/Ao-Kun-Small-Portuguese-Style-Tart-Crust--Frozen-60pc/36862,$8.59,400+ Sold,"Ao Kun Small Portuguese Style Tart Crust, Frozen 60pc",(58),Mainland China,
"Sachima Rice,Classic Egg Flavor  526 g",https://www.sayweee.com/en/product/Sachima-Rice-Classic-Egg-Flavor-/13765,$5.69,1K+ Sold,"Sachima Rice,Classic Egg Flavor",(145),Mainland China,
Steak Flavor Rice Crisps 210 g,https://www.sayweee.com/en/product/Steak-Flavor-Rice-Crisps/65747,$3.49,1K+ Sold,Steak Flavor Rice Crisps,(72),Mainland China,
"Beitian Energy Rice Rolls, Egg Yolk Flavor  180 g",https://www.sayweee.com/en/product/Beitian-Energy-Rice-Rolls--Egg-Yolk-Flavor-/97217,$2.99,"1K+ Sold,14 Left","Beitian Energy Rice Rolls, Egg Yolk Flavor",(387),Taiwan,
Bin Bin Rice Crackers 3.73 oz,https://www.sayweee.com/en/product/Bin-Bin-Rice-Crackers/42723,$1.29,"1K+ Sold,12 Left",Bin Bin Rice Crackers,(9),Thailand,
CJ Bibigo Original Seaweed Crisps with Brown Rice 20 g,https://www.sayweee.com/en/product/CJ-Bibigo-Original-Seaweed-Crisps-with-Brown-Rice/98771,$2.49,700+ Sold,CJ Bibigo Original Seaweed Crisps with Brown Rice,(68),South Korea,Bibigo
HAITAI Tteokbokki Rice Cake Chips  192 g,https://www.sayweee.com/en/product/HAITAI-Tteokbokki-Rice-Cake-Chips-/11130,$3.99,600+ Sold,HAITAI Tteokbokki Rice Cake Chips,(16),South Korea,HAITAI
HanZhengXuan Original Rice Cake 200 g,https://www.sayweee.com/en/product/HanZhengXuan-Original-Rice-Cake/97799,$3.49,600+ Sold,HanZhengXuan Original Rice Cake,(116),Taiwan,
LONGKANG Crispy Rice Crackers 25 g,https://www.sayweee.com/en/product/LONGKANG-Crispy-Rice-Crackers/13087,$0.59,600+ Sold,LONGKANG Crispy Rice Crackers,(15),Mainland China,
Amanoya Himemaru Japanese Rice Cracker Snack  3.45 oz,https://www.sayweee.com/en/product/Amanoya-Himemaru-Japanese-Rice-Cracker-Snack-/98358,$1.99,500+ Sold,Amanoya Himemaru Japanese Rice Cracker Snack,(60),Japan,
Want Want Shelly Senbei Rice Crackers 520 g,https://www.sayweee.com/en/product/Want-Want-Shelly-Senbei-Rice-Crackers/17914,$9.99,400+ Sold,Want Want Shelly Senbei Rice Crackers,(168),Mainland China,
"Likee Rice Crisps, Crab Flavor 96 g",https://www.sayweee.com/en/product/Likee-Rice-Crisps-Crab-Flavor/16869,$2.79,300+ Sold,"Likee Rice Crisps, Crab Flavor",(63),Mainland China,
Sun Pepper Crispy Rice Crackers Spicy 108 g,https://www.sayweee.com/en/product/Sun-Pepper-Crispy-Rice-Crackers-Spicy/86797,$3.49,300+ Sold,Sun Pepper Crispy Rice Crackers Spicy,,Mainland China,
"Ottogi Ppushu Ppushu Noodle Snack, Spicy Rice Cake Flavor 3.18 oz",https://www.sayweee.com/en/product/Ottogi-Ppushu-Ppushu-Noodle-Snack--Spicy-Rice-Cake-Flavor/82773,$0.99,300+ Sold,"Ottogi Ppushu Ppushu Noodle Snack, Spicy Rice Cake Flavor",(2),South Korea,Ottogi
MTT Brand Instant Rice Paper Snack 7 oz,https://www.sayweee.com/en/product/MTT-Brand-Instant-Rice-Paper-Snack/84566,$3.29,200+ Sold,MTT Brand Instant Rice Paper Snack,(3),Vietnam,
"SUN Pepper Crispy Rice Crackers,Honey Chicken Wing Flavor  108 g",https://www.sayweee.com/en/product/SUN-Pepper-Crispy-Rice-Crackers-Honey-Chicken-Wing-Flavor-/86799,$3.49,200+ Sold,"SUN Pepper Crispy Rice Crackers,Honey Chicken Wing Flavor",,Mainland China,
Regent Snacku Vegetable Flavored Rice Crackers 60 g,https://www.sayweee.com/en/product/Regent-Snacku-Vegetable-Flavored-Rice-Crackers/9668,$1.29,200+ Sold,Regent Snacku Vegetable Flavored Rice Crackers,(4),Philippines,Regent
Dang Coconut Crunch Thai Rice Chips  3.5 oz,https://www.sayweee.com/en/product/Dang-Coconut-Crunch-Thai-Rice-Chips-/2449,$4.49,200+ Sold,Dang Coconut Crunch Thai Rice Chips,(3),Thailand,
"Glutinous Rice Rolls, Assorted Flavors 500 g",https://www.sayweee.com/en/product/Glutinous-Rice-Rolls--Assorted-Flavors/17626,$6.29,200+ Sold,"Glutinous Rice Rolls, Assorted Flavors",(22),Mainland China,
"Hello Kitty Grains Crispy Rice Roll, Egg Yolk Flavor 160 g",https://www.sayweee.com/en/product/Hello-Kitty-Grains-Crispy-Rice-Roll--Egg-Yolk-Flavor/19290,$2.99,100+ Sold,"Hello Kitty Grains Crispy Rice Roll, Egg Yolk Flavor",(18),Mainland China,
Want Want Senbei Rice Crackers  520 g,https://www.sayweee.com/en/product/Want-Want-Senbei-Rice-Crackers-/38924,$9.99,100+ Sold,Want Want Senbei Rice Crackers,(2),Taiwan,WANT WANT
Hsin Tung Yang Seaweed Snack with Purple Rice 40 g,https://www.sayweee.com/en/product/Hsin-Tung-Yang-Seaweed-Snack-with-Purple-Rice/30339,$3.39,100+ Sold,Hsin Tung Yang Seaweed Snack with Purple Rice,(7),Taiwan,HSIN TUNG YANG
TAIYANG Sun Rice Chips Cumin Flavor 50 g,https://www.sayweee.com/en/product/TAIYANG-Sun-Rice-Chips-Cumin-Flavor/61355,$1.49,50+ Sold,TAIYANG Sun Rice Chips Cumin Flavor,(36),Mainland China,
"Sha Er Ge Coarse Grain Rice Crisps, Scallion Flavor 100 g",https://www.sayweee.com/en/product/Sha-Er-Ge-Coarse-Grain-Rice-Crisps--Scallion-Flavor/48298,$1.89,50+ Sold,"Sha Er Ge Coarse Grain Rice Crisps, Scallion Flavor",(2),Mainland China,
Surasang Korean Rice Senbei Crackers 300 g,https://www.sayweee.com/en/product/Surasang-Korean-Rice-Senbei-Crackers/38103,$5.99,50+ Sold,Surasang Korean Rice Senbei Crackers,(37),Mainland China,Surasang
"Sha Er Ge Coarse Grain Rice Crisps, Spicy Flavor 100 g",https://www.sayweee.com/en/product/Sha-Er-Ge-Coarse-Grain-Rice-Crisps--Spicy-Flavor/48299,$1.99,50+ Sold,"Sha Er Ge Coarse Grain Rice Crisps, Spicy Flavor",,Mainland China,Sha Er Ge
Surasang Syrup Coated Rice Senbei 300 g,https://www.sayweee.com/en/product/Surasang-Syrup-Coated-Rice-Senbei/38182,$6.99,50+ Sold,Surasang Syrup Coated Rice Senbei,(33),Mainland China,Surasang
Lundberg Family Farms Organic Lightly Salted Brown Rice Cakes 8.5 oz,https://www.sayweee.com/en/product/Lundberg-Family-Farms-Organic-Lightly-Salted-Brown-Rice-Cakes/5247,$3.99,50+ Sold,Lundberg Family Farms Organic Lightly Salted Brown Rice Cakes,(3),United States,
Dang Sriracha Spice Thai Rice Chips  3.5 oz,https://www.sayweee.com/en/product/Dang-Sriracha-Spice-Thai-Rice-Chips-/2471,$4.49,50+ Sold,Dang Sriracha Spice Thai Rice Chips,(3),Thailand,
Want Want Assorted Rice Crackers Gift 460 g,https://www.sayweee.com/en/product/Want-Want-Assorted-Rice-Crackers-Gift/82309,$15.99,50+ Sold,Want Want Assorted Rice Crackers Gift,,Mainland China,WANT WANT
"WL Rice Cracker, Sesame Flavor 108 g",https://www.sayweee.com/en/product/WL-Rice-Cracker--Sesame-Flavor/85586,$2.79,50+ Sold,"WL Rice Cracker, Sesame Flavor",,Mainland China,
"Captain Danny Puffed Rice, Hokkaido Corn Soup Flavor 100 g",https://www.sayweee.com/en/product/Captain-Danny-Puffed-Rice-Hokkaido-Corn-Soup-Flavor/70255,$5.69,,"Captain Danny Puffed Rice, Hokkaido Corn Soup Flavor",(12),Taiwan,Captain Danny
"Beitian Energy 99 Rice Roll, Taro Flavor  180 g",https://www.sayweee.com/en/product/Beitian-Energy-99-Rice-Roll--Taro-Flavor-/36486,$2.99,,"Beitian Energy 99 Rice Roll, Taro Flavor",(12),Taiwan,
"Want Want Must-Eat Rice Snack, Original 70 g",https://www.sayweee.com/en/product/Want-Want-MustEat-Rice-Snack-Original/66006,$1.89,,"Want Want Must-Eat Rice Snack, Original",(5),Mainland China,WANT WANT
"Sizzling Rice Crisp, Five Spice Flavor 86 g",https://www.sayweee.com/en/product/Sizzling-Rice-Crisp--Five-Spice-Flavor/33237,$2.59,,"Sizzling Rice Crisp, Five Spice Flavor",(9),Mainland China,
Oh Ma Grain Popped Rice Cracker Fried Garlic 1.5 oz,https://www.sayweee.com/en/product/Oh-Ma-Grain-Popped-Rice-Cracker-Fried-Garlic/35391,$3.29,,Oh Ma Grain Popped Rice Cracker Fried Garlic,(2),Indonesia,
Trygoodz Mido Mixed Nuts and Rice Crackers 180 g,https://www.sayweee.com/en/product/Trygoodz-Mido-Mixed-Nuts-and-Rice-Crackers/65659,$6.79,,Trygoodz Mido Mixed Nuts and Rice Crackers,(7),Taiwan,
Lianggao Well Rice Cake with Brown Sugar Syrup 240 g,https://www.sayweee.com/en/product/Lianggao-Well-Rice-Cake-with-Brown-Sugar-Syrup/11449,$1.79,,Lianggao Well Rice Cake with Brown Sugar Syrup,(9),Mainland China,
"Captain Danny Puffed Rice, Caramel Flavor 100 g",https://www.sayweee.com/en/product/Captain-Danny-Puffed-Rice-Caramel-Flavor/12668,$5.49,,"Captain Danny Puffed Rice, Caramel Flavor",(39),Taiwan,
"Miduoqi Rice Crisp Cakes, Pumpkin Flavor 336 g",https://www.sayweee.com/en/product/Miduoqi-Rice-Crisp-Cakes--Pumpkin-Flavor/82567,$5.89,,"Miduoqi Rice Crisp Cakes, Pumpkin Flavor",(1),Mainland China,
"Captain Danny Puffed Rice, Sour Cream and Onion Flavor 100 g",https://www.sayweee.com/en/product/Captain-Danny-Puffed-Rice-Sour-Cream-and-Onion-Flavor/70256,$5.69,,"Captain Danny Puffed Rice, Sour Cream and Onion Flavor",(5),Taiwan,Captain Danny
Choripdong Rice Cracker Biscuit De Riz 3pk 240 g,https://www.sayweee.com/en/product/Choripdong-Rice-Cracker-Biscuit-De-Riz-3pk/30565,$5.99,,Choripdong Rice Cracker Biscuit De Riz 3pk,(2),South Korea,Choripdong
Oh Ma Grain Popped Rice Cracker Sea Salt 1.5 oz,https://www.sayweee.com/en/product/Oh-Ma-Grain-Popped-Rice-Cracker-Sea-Salt/35387,$3.29,,Oh Ma Grain Popped Rice Cracker Sea Salt,(1),Indonesia,
Oh Ma Grain Popped Rice Cracker Original 1.5 oz,https://www.sayweee.com/en/product/Oh-Ma-Grain-Popped-Rice-Cracker-Original/35392,$3.29,,Oh Ma Grain Popped Rice Cracker Original,(1),Indonesia,
FuXianYuan Rice Flower Ball 7.7 oz,https://www.sayweee.com/en/product/FuXianYuan-Rice-Flower-Ball/17794,$6.19,,FuXianYuan Rice Flower Ball,,Mainland China,
Rice King Thai Sweet Long Grain Rice Bag  4.4 lb,https://www.sayweee.com/en/product/Rice-King-Thai-Sweet-Long-Grain-Rice-Bag-/70953,$7.99,200+ Sold,Rice King Thai Sweet Long Grain Rice Bag,(135),Mainland China,
CJ BARN BARN MI 50% Brown RIce+ 50% Brown Sweet RIce 15 lb,https://www.sayweee.com/en/product/CJ-BARN-BARN-MI-50--Brown-RIce--50--Brown-Sweet-RIce/44763,$19.99,50+ Sold,CJ BARN BARN MI 50% Brown RIce+ 50% Brown Sweet RIce,(25),United States,CJ Foods
Rice King Pon Lai Rice Gold 15 lb,https://www.sayweee.com/en/product/Rice-King-Pon-Lai-Rice-Gold/82510,$29.99,50+ Sold,Rice King Pon Lai Rice Gold,(2),United States,
Golden Rice Taiwan Premium Short Grain Rice 6000 g,https://www.sayweee.com/en/product/Golden-Rice-Taiwan-Premium-Short-Grain-Rice/31814,$26.99,,Golden Rice Taiwan Premium Short Grain Rice,(2),Taiwan,
Rice King Multi Grain Rice 4.4 lb,https://www.sayweee.com/en/product/Rice-King-Multi-Grain-Rice/85875,$14.19,,Rice King Multi Grain Rice,,Thailand,
"Baijia Guizhou Rice Noodles, Beef Flavor 270 g",https://www.sayweee.com/en/product/Baijia-Guizhou-Rice-Noodles--Beef-Flavor/11083,$3.99,1K+ Sold,"Baijia Guizhou Rice Noodles, Beef Flavor",(224),Mainland China,
Shao Hsing Rice Cooking Wine 750 ml,https://www.sayweee.com/en/product/Shao-Hsing-Rice-Cooking-Wine/85849,$3.99,1K+ Sold,Shao Hsing Rice Cooking Wine,(1237),Mainland China,Shao Hsing
"Haohuanluo River Snails Rice Noodles, Original Flavor  300 g",https://www.sayweee.com/en/product/Haohuanluo-River-Snails-Rice-Noodles--Original-Flavor-/7309,$4.69,1K+ Sold,"Haohuanluo River Snails Rice Noodles, Original Flavor",(209),Mainland China,Happy Snail
Doll Dim Sum Shrimp Cheong Fun Rice Roll 203 g,https://www.sayweee.com/en/product/Doll-Dim-Sum-Shrimp-Cheong-Fun-Rice-Roll/32336,$3.59,1K+ Sold,Doll Dim Sum Shrimp Cheong Fun Rice Roll,(501),Hong Kong,
"Laurel Sesame Rice Balls, Frozen 10pc 1 each",https://www.sayweee.com/en/product/Laurel-Sesame-Rice-Balls-Frozen-10pc/94113,$2.99,1K+ Sold,"Laurel Sesame Rice Balls, Frozen 10pc",(723),Taiwan,Laurel
"Synear Glutinous Rice Balls with Black Sesame, Frozen 400 g",https://www.sayweee.com/en/product/Synear-Glutinous-Rice-Balls-with-Black-Sesame--Frozen/77787,$3.29,1K+ Sold,"Synear Glutinous Rice Balls with Black Sesame, Frozen",(168),Mainland China,Synear
Luobawang Luo Si Tomato Rice Noodles 306 g,https://www.sayweee.com/en/product/Luobawang-Luo-Si-Tomato-Rice-Noodles/63105,$4.49,1K+ Sold,Luobawang Luo Si Tomato Rice Noodles,(234),Mainland China,
Synear Ningbo Black Pearls Sesame Rice Balls 400 g,https://www.sayweee.com/en/product/Synear-Ningbo-Black-Pearls-Sesame-Rice-Balls/59965,$3.19,1K+ Sold,Synear Ningbo Black Pearls Sesame Rice Balls,(56),Mainland China,Synear
Nishiki Premium Medium Grain Rice 15 lb,https://www.sayweee.com/en/product/Nishiki-Premium-Medium-Grain-Rice/78866,$23.99,1K+ Sold,Nishiki Premium Medium Grain Rice,(1037),United States,Nishiki
[HHL] Snails Rice Noodle (Original) 400g 400 g,https://www.sayweee.com/en/product/-HHL--Snails-Rice-Noodle--Original--400g/10917,$4.69,1K+ Sold,[HHL] Snails Rice Noodle (Original) 400g,(83),Mainland China,
Erawan Glutinous Rice Flour 1 lb,https://www.sayweee.com/en/product/Erawan-Glutinous-Rice-Flour/97870,$2.19,1K+ Sold,Erawan Glutinous Rice Flour,(323),Thailand,Erawan
Synear Mini Black Sesame Rice Balls 300 g,https://www.sayweee.com/en/product/Synear-Mini-Black-Sesame-Rice-Balls/26222,$2.49,1K+ Sold,Synear Mini Black Sesame Rice Balls,(86),Mainland China,Synear
"Synear Assorted Mini Rice Balls, Frozen 300 g",https://www.sayweee.com/en/product/Synear-Assorted-Mini-Rice-Balls--Frozen/77789,$3.19,1K+ Sold,"Synear Assorted Mini Rice Balls, Frozen",(201),Mainland China,Synear
Liziqi Snail Rice Noodles 335 g,https://www.sayweee.com/en/product/Liziqi-Snail-Rice-Noodles/28856,$6.49,1K+ Sold,Liziqi Snail Rice Noodles,(197),Mainland China,
"QianWei Rhubarb Glutinous Rice Ball with Black Sesame Filling, Frozen  500 g",https://www.sayweee.com/en/product/QianWei-Rhubarb-Glutinous-Rice-Ball-with-Black-Sesame-Filling--Frozen-/17232,$3.79,1K+ Sold,"QianWei Rhubarb Glutinous Rice Ball with Black Sesame Filling, Frozen",(70),Mainland China,Sweet-Scented
Liuzhou Guangxi Specialty Luo Si Fen Spicy Rice Noodles 315 g,https://www.sayweee.com/en/product/Liuzhou-Guangxi-Specialty-Luo-Si-Fen-Spicy-Rice-Noodles/96741,$4.49,1K+ Sold,Liuzhou Guangxi Specialty Luo Si Fen Spicy Rice Noodles,(222),Mainland China,
Sekka Premium Japanese Medium Grain Rice 15 lb,https://www.sayweee.com/en/product/Sekka-Premium-Japanese-Medium-Grain-Rice/81224,$17.99,1K+ Sold,Sekka Premium Japanese Medium Grain Rice,(395),United States,Sekka
Chiao Kou Purple Rice Porridge with Mixed Chinese Sweets  350 g,https://www.sayweee.com/en/product/Chiao-Kou-Purple-Rice-Porridge-with-Mixed-Chinese-Sweets-/97227,$3.19,1K+ Sold,Chiao Kou Purple Rice Porridge with Mixed Chinese Sweets,(139),,
Brown Sugar Glutinous Rice Cake 220 g,https://www.sayweee.com/en/product/Brown-Sugar-Glutinous-Rice-Cake/65691,$5.49,1K+ Sold,Brown Sugar Glutinous Rice Cake,(73),Mainland China,
"Synear Glutinous Rice Ball with Sesame, Frozen 320 g",https://www.sayweee.com/en/product/Synear-Glutinous-Rice-Ball-with-Sesame--Frozen/77793,$4.69,1K+ Sold,"Synear Glutinous Rice Ball with Sesame, Frozen",(47),Mainland China,
Nishiki Premium Medium Grain Rice 5 lb,https://www.sayweee.com/en/product/Nishiki-Premium-Medium-Grain-Rice/96142,$8.99,1K+ Sold,Nishiki Premium Medium Grain Rice,(113),United States,Nishiki
Fortune Avenue Steamed Rice Cake with Pork Blood 16 oz,https://www.sayweee.com/en/product/Fortune-Avenue-Steamed-Rice-Cake-with-Pork-Blood/66320,$9.49,1K+ Sold,Fortune Avenue Steamed Rice Cake with Pork Blood,(308),United States,
Amoy Glutinous Rice Dumpling 3pc 180 g,https://www.sayweee.com/en/product/Amoy-Glutinous-Rice-Dumpling-3pc/39202,$3.29,1K+ Sold,Amoy Glutinous Rice Dumpling 3pc,(216),Hong Kong,Amoy
Taiwan Brand Glutinous Rice Dumpling with Pork  12 oz,https://www.sayweee.com/en/product/Taiwan-Brand-Glutinous-Rice-Dumpling-with-Pork-/74889,$5.49,1K+ Sold,Taiwan Brand Glutinous Rice Dumpling with Pork,(66),United States,
Doll Dim Sum Mini Glutinous Rice Dumpling 7.9 oz,https://www.sayweee.com/en/product/Doll-Dim-Sum-Mini-Glutinous-Rice-Dumpling/26396,$3.19,1K+ Sold,Doll Dim Sum Mini Glutinous Rice Dumpling,(152),Mainland China,
BYL Red Sweet Rice Dumpling  Frozen 200 g,https://www.sayweee.com/en/product/BYL-Red-Sweet-Rice-Dumpling--Frozen/84515,$2.49,1K+ Sold,BYL Red Sweet Rice Dumpling  Frozen,(13),Mainland China,
Erawan Rice Flour 1 lb,https://www.sayweee.com/en/product/Erawan-Rice-Flour/3042,$1.89,1K+ Sold,Erawan Rice Flour,(245),Thailand,Erawan
LAUREL'S Black Sesame Glutinous Rice Ball 10pc 1 each,https://www.sayweee.com/en/product/LAUREL-S-Black-Sesame-Glutinous-Rice-Ball-10pc/16767,$2.99,1K+ Sold,LAUREL'S Black Sesame Glutinous Rice Ball 10pc,(139),United States,Laurel
Liu Quan Instant Spicy Snail Rice Noodles Vermicelli 315 g,https://www.sayweee.com/en/product/Liu-Quan-Instant-Spicy-Snail-Rice-Noodles-Vermicelli/97903,$4.49,1K+ Sold,Liu Quan Instant Spicy Snail Rice Noodles Vermicelli,(650),Mainland China,
"Vegetarian Rice Mushroom Buns, Frozen 420 g",https://www.sayweee.com/en/product/Vegetarian-Rice-Mushroom-Buns-Frozen/34460,$3.99,1K+ Sold,"Vegetarian Rice Mushroom Buns, Frozen",(434),Mainland China,
Wowo Brand Fermented Glutinous Rice 600 g,https://www.sayweee.com/en/product/Wowo-Brand-Fermented-Glutinous-Rice/97184,$3.99,1K+ Sold,Wowo Brand Fermented Glutinous Rice,(196),Mainland China,
"Si Nian Mini Glutinous Rice Balls, Frozen 300 g",https://www.sayweee.com/en/product/Si-Nian-Mini-Glutinous-Rice-Balls--Frozen/67393,$2.99,"1K+ Sold,27 Left","Si Nian Mini Glutinous Rice Balls, Frozen",(216),Mainland China,
